participant_id,condition,ability,conceptual_immediate,conceptual_7day,conceptual_30day,factual_immediate,factual_7day,factual_30day,total_immediate,total_7day,total_30day
1,Control,5.960569836134792,56.93497065269384,44.789183546006534,38.486740612722954,73.24977611970472,61.35004375114427,50.853162431037155,65.09237338619928,53.0696136485754,44.66995152188005
2,Control,-1.6591716140542159,86.12500115357986,68.05723167852362,58.387049171315155,54.28407368491777,40.67565309037888,38.376111736202,70.20453741924882,54.36644238445125,48.38158045375857
3,Control,7.77226245720831,67.5698040861393,51.787178849972605,43.65230925474716,66.63316090755583,51.129632061715164,47.98617633263511,67.10148249684757,51.45840545584389,45.81924279369113
4,Control,18.276358276896303,62.4106943425578,48.621216022033124,43.57620561826984,46.66159270390768,40.48229938091015,35.26902296255268,54.53614352323274,44.55175770147164,39.42261429041126
5,Control,-2.8098404966800317,69.5283331848678,57.66951696257783,43.333319768894334,71.43837222508346,56.078848561499335,44.78657770285091,70.48335270497563,56.874182762038586,44.059948735872624
6,Control,-2.8096434833901665,38.8777017670445,34.95241653651014,20.4976476192162,75.57019623932423,62.173507854930996,50.65439663413239,57.223949003184366,48.56296219572057,35.576022126674296
7,Control,18.950553786088697,82.08350771116004,68.56183165984936,59.68698859085683,76.10018176560308,65.18413946156348,52.194134560909944,79.09184473838155,66.87298556070641,55.940561575883386
8,Control,9.209216749834905,39.81416489163827,35.59524515538822,27.945673455807217,60.311921058443545,49.1419012160365,40.43628230545976,50.06304297504091,42.368573185712364,34.19097788063349
9,Control,-5.633692631219425,34.44351663530412,28.251633011663007,21.724471532359473,43.326263923011965,31.63245627660168,25.851676918165776,38.88489027915804,29.942044644132345,23.788074225262626
10,Control,6.510720523031576,69.46363906106843,54.540068665918085,46.03050818110678,63.806596280113055,47.33158918184429,43.17390420590248,66.63511767059074,50.93582892388119,44.60220619350463
11,Control,-5.561012313749547,65.51598638618161,52.76830551138852,37.06410570022329,26.771813773796584,19.78014939072122,23.82458030178708,46.143900079989095,36.27422745105487,30.444343001005183
12,Control,-5.588757042843082,56.981767175006475,49.56260893417716,34.661612311312766,72.6290247538091,59.86060423880235,40.186399604573815,64.8053959644078,54.71160658648976,37.424005957943294
13,Control,2.9035472587924094,61.1688230229688,49.18279343786899,39.35321440479106,64.63128912039781,52.72263253342436,44.72592850763425,62.90005607168331,50.95271298564667,42.039571456212656
14,Control,-22.959362935893573,32.5240816302671,29.21973188304383,16.120258571937995,53.37287439234652,36.51026878952976,25.565295562086177,42.948478011306804,32.8650003362868,20.842777067012086
15,Control,-20.699013990156395,17.123156154332193,5.130424713608214,9.405680794538357,63.417551127859184,48.628222123806864,35.211229912680615,40.27035364109569,26.87932341870754,22.308455353609485
16,Control,-6.747450350891672,42.4548865231877,35.856692253739936,27.8052109741278,84.79092676425795,67.84444841349702,56.37852519775204,63.62290664372283,51.85057033361848,42.09186808593992
17,Control,-12.153973444013086,40.9364449915901,32.01521626734642,30.52585531954485,62.9318628918825,46.16417362416218,38.42149827071428,51.9341539417363,39.0896949457543,34.47367679512956
18,Control,3.7709679911432863,79.62780138442702,63.40576683659559,53.33276295416334,84.5871565453411,68.76885147369806,52.86483152996388,82.10747896488405,66.08730915514683,53.09879724206361
19,Control,-10.896288906254531,54.25798543727239,42.49924930983268,33.97110430960979,66.08138486839297,51.59965032834956,38.286842523695604,60.169685152832685,47.04944981909112,36.1289734166527
20,Control,-16.947644416023497,16.606753253535498,6.759805160934597,9.58599314584011,33.923585737430194,22.560107959663377,22.07688693675307,25.265169495482844,14.659956560298987,15.83144004129659
21,Control,17.58778522705865,82.44904476798057,68.20041233398268,52.910901773734096,49.3868027708667,42.320013258108425,32.95043758655982,65.91792376942364,55.26021279604555,42.93066968014696
22,Control,-2.709315605838428,51.51445018791682,42.00376005722808,32.916359832427204,63.44855877690757,52.0973962597063,41.28928137711804,57.48150448241219,47.05057815846719,37.10282060477262
